일시,대여소,대여건수,반납건수
202107,1636. 백병원 사거리 농협은행 앞,4,2
202107,1637. KT 노원점 건물 앞,0,2
202107,1643. 태릉입구역 8번출구,1,1
202107,1646. 삼육대 입구,0,1
202107,1651. 맥도날드 상계점 앞,0,1
202107,1653. 노원역1번출구,1,0
202107,1656. 중앙하이츠 아파트 입구,0,1
202107,1659. 중계동 을지중학교,1,2
202107,1661. 당현천근린공원,3,3
202107,1662. 노원역7번출구,2,0
202107,1669. 중계역 3번출구,0,2
202107,1672. 상계동수락리버시티,2,2
202107,1674. 서울북부고용센터앞,1,0
202107,1677. 육군사관학교  앞,1,0
202107,1684. 태릉입구역 5번출구,2,0
202107,1686. 온수골사거리(스타벅스앞),2,1
202107,1688. 마들역 7번출구,1,0
202107,1690. 도봉운전면허시험장,1,0
202107,1691. 노원정보도서관,1,1
202107,1705. 도봉구청 정문앞,0,1
202107,1708. 보건소사거리(다비치안경창동점),0,1
202107,1709. 쌍문역4번출구 주변,2,0
202107,1715. 서울특별시교육청도봉도서관,1,2
202107,1716. 하나로마트 창동점,1,0
202107,1729. 파리바게트앞,1,1
202107,173. 서대문역 8번출구 앞,2,0
202107,"1735. 도봉역 1,2번 출구사이 건너편",1,0
202107,1742. 북한산 코오롱 하늘채,6,5
202107,1743.창동19단지아파트 관리사무소앞,0,1
202107,175. 홍연2교옆,3,2
202107,1750. 창포원 남쪽 입구,0,1
202107,1754. 창동시장입구 사거리,0,1
202107,176. 명지대학교 도서관,0,1
202107,181. 망원초록길 입구,11,7
202107,182. 망원2빗물펌프장 앞,7,9
202107,1821. 홈플러스 시흥점 맞은편 다비치안경 앞,1,1
202107,1827. 독산보도육교 앞 자전거 보관소,1,0
202107,183. 하늘채코오롱아파트 건너편,3,2
202107,184. SK망원동주유소 건너편,3,3
202107,185. 마포 신수공원 앞,4,3
202107,1858. 석수역1번출구 앞 (SK주유소),0,2
202107,186. 월드컵공원,2,0
202107,1904. 도림천역 1번 출구 앞,2,3
202107,1906. 신도림역 1번 출구 앞,3,4
202107,1925. 동양미래대학교 정문 옆,2,2
202107,194. 증산교 앞,1,0
202107,1943. 온수역 북측,1,0
202107,1952. 천왕연지타운2단지 앞,1,0
202107,1961. 신도림테크노근린공원,3,4
202107,1974. 신도림2차e편한세상아파트 203동 앞,1,1
202107,1975. 대림역 1번 출입구 밑,1,1
202107,1983. 구로동롯데아파트,0,2
202107,1985. 구로도서관,4,3
202107,1991. 오류동역 맞은편,1,0
202107,2000. 신도림4차 e편한세상 아파트 1109동 앞,2,1
202107,2002. 노들역 1번출구,5,5
202107,2003. 사육신공원앞,2,1
202107,2007. 유한양행앞,1,2
202107,201. 진미파라곤 앞,3,4
202107,2013. 장승배기역 5번출구,1,2
202107,202. 국민일보 앞,0,2
202107,2025. 흑석역 1번출구,8,8
202107,2026. 흑석역 4번출구,1,0
202107,2027. 중앙대학교 정문 1,1,3
202107,203. 국회의사당역 3번출구 옆,1,0
202107,2037. 동작역 5번출구 동작주차공원,4,0
202107,204. 국회의사당역 5번출구 옆,2,1
202107,2050. 노량진역 5번출구,2,7
202107,2054. 삼익아파트,1,1
202107,2058. 노량진동 맥도널드앞,0,2
202107,2059. 보라매공원 정문,1,1
202107,206. KBS 앞,3,2
202107,2069. 숭실대 입구역3번 출구 앞,0,2
202107,207. 여의나루역 1번출구 앞,62,53
202107,2070. 노량진역 2번 출구 앞,2,1
202107,2076.노들나루공원 입구,2,8
202107,2077.노들역 3번출구,0,4
202107,2079.중앙대학교 중앙광장,0,1
202107,2082.7호선 이수역7번출구,1,0
202107,209. 유진투자증권빌딩 앞,8,3
202107,2090.기아자동차 사당점 앞,1,0
202107,2091.이수역9번출구(맥도날드),0,1
202107,210. IFC몰,7,11
202107,2102. 봉림교 교통섬,10,6
202107,2103. 신림동 우방아파트,1,0
202107,2104. 사당역 5번출구,0,1
202107,2105. 미성동 신림체육센터,1,0
202107,2107. 도림천 신화교,1,1
202107,2108. 은천치안센터,0,1
202107,211. 여의도역 4번출구 옆,4,2
202107,2111. 서울대입구역 1번출구,0,1
202107,2113. 관악동작견인차량보관소,0,1
202107,2116. 에이스에이존빌딩,1,0
202107,212. 여의도역 1번출구 옆,0,1
202107,2129. 낙성대 과학전시관,1,0
202107,213. KT앞,0,1
202107,2130. 영어마을 관악캠프,2,0
202107,2135. 신림역 5번출구,1,0
202107,2136. 신림역 8번출구,6,2
202107,2139. 서울신성초등학교,3,2
202107,2140. 신림1교 교차로,2,1
202107,2141. 미림여고입구 교차로,2,0
202107,2148. 낙성대역 3번출구 뒤,0,1
202107,215. 여의도고교 앞,4,4
202107,2169. 봉천역 2번출구,1,0
202107,217. NH농협은행 앞,4,2
202107,2171. 서울대입구역 5번출구,0,1
202107,2172. 나들목공원,4,1
202107,2173. 당곡사거리,0,3
202107,2175. 신림동걷고싶은문화의거리입구,1,1
202107,2177. 신대방역 2번 출구,1,1
202107,2178. 서울대학교 정문,0,1
202107,2179. 양녕로 입구,1,3
202107,2183. 동방1교,11,14
202107,2191.대학동주민센터 ,1,0
202107,2195.은천교회,1,1
202107,2196.삼화페인트 봉천점,1,0
202107,2198.사랑의병원,1,0
202107,220. 미성아파트 A동 앞,0,2
202107,221. 여의도초교 앞,8,6
202107,2211. 서초구립반포도서관 앞,2,1
202107,2212.서초현대4차아파트 201동 맞은편,3,0
202107,2213. 고속터미널역 5번출구 앞,1,0
202107,2214. 신반포역 2번출구 앞,1,0
202107,2217.아크로리버뷰 부지 앞,8,10
202107,"2219. 고속터미널역 8-1번, 8-2번 출구 사이",6,1
202107,2220. 반포본동 주민센터 앞,1,2
202107,2231. 삼성타운(삼성생명) A동 맞은편,1,1
202107,2243.서울가정법원,1,0
202107,2247.섬들근린공원,1,0
202107,225. 앙카라공원 앞,0,1
202107,2258.구룡사 삼거리,1,1
202107,2259. 잠원역 3번-4번 출구사이 ,7,4
202107,226. 샛강역 1번출구 앞,6,1
202107,2262. 한신16차아파트 119동 앞,27,20
202107,2268. 서초4동주민센터 ,2,0
202107,2269. 주홍교 하부,1,0
202107,227. 양평2나들목 보행통로 입구,1,2
202107,2272. 교대입구 교차로,1,0
202107,2273. 일동제약 사거리,0,1
202107,2279. 교대역 5번출구뒤,1,0
202107,228. 선유도역 3번출구 앞,0,1
202107,229. 양평1 보행육교 앞,1,1
202107,2297. 남부터미널역 1번출구,0,1
202107,230. 영등포구청역 1번출구,0,2
202107,2301. 현대고등학교 건너편,19,33
202107,2302. 교보타워 버스정류장(신논현역 3번출구 후면),1,1
202107,2303. 논현역 7번출구,1,1
202107,2306. 압구정역 2번 출구 옆,4,2
202107,2307. 압구정 한양 3차 아파트,3,6
202107,2308. 압구정파출소 앞,2,2
202107,2314. 청담나들목입구,0,4
202107,2315. 봉은사역 5번출구 옆,1,0
202107,2316. 삼성역 8번출구,4,5
202107,2317. 삼성도로공원,1,0
202107,2321. 학여울역 사거리,2,0
202107,2327. 뱅뱅사거리 랜드마크타워 앞,0,1
202107,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,4,1
202107,2329. 르네상스호텔사거리 역삼지하보도 2번출구,0,1
202107,2330. 스타벅스 앞,2,1
202107,2331. 동영문화센터앞,2,0
202107,2332. 선릉역3번출구,1,0
202107,2341. 일원역 4~5번 출구 사이,0,1
202107,2347. 두산건설 본사,2,0
202107,2348. 포스코사거리(기업은행),1,0
202107,2352. 서울본부세관(건설회관 앞),0,1
202107,2353. 강남구청역 2번출구 뒤,0,1
202107,2354. 청담역 2번출구,0,1
202107,2355. 삼성역 5~6번 출구 사이,1,3
202107,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),0,2
202107,236. 문래동자이아파트 앞,3,2
202107,2361. 압구정역 교차로,1,0
202107,2362. 신사동 가로수길 입구,0,1
202107,2363. 강남 을지병원 교차로,0,1
202107,2364. 도산대로 렉서스 앞,1,0
202107,2365. K+ 타워 앞,3,2
202107,2369. KT선릉타워,1,0
202107,2371. 한국우편사업진흥원,1,0
202107,2372. 대치역 사거리,0,2
202107,2377. 수서역 5번출구 뒤,3,1
202107,2381. 언주역 6번출구앞,2,0
202107,2385. 학동역,1,0
202107,2388. 강남구 도시관리공단,1,0
202107,2398. 더라움,4,2
202107,2406. 논현동 광명빌딩 앞,4,3
202107,2409. 역삼동 디오슈페리움 (우성아파트 사거리),0,2
202107,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),3,3
202107,2418.봉은사역 7번 출구 ,1,0
202107,"2419.봉은사역 1,2번 출구 ",0,1
202107,242. 신길선원가와인아파트 앞,0,1
202107,2421. 신논현역 4번출구,1,2
202107,2429.압구정로데오역 6번출구,1,2
202107,243. 이앤씨드림타워 앞,0,2
202107,2430.강남파이낸스센터앞(역삼역2번출구),0,2
202107,245. 삼성생명 당산사옥 앞,0,1
202107,247. 당산역 10번출구 앞,3,2
202107,248. 초원아파트 앞,0,2
202107,249. 여의도중학교 옆,15,15
202107,2503. 반포1동 서초빌딩 앞,1,2
202107,2504. 신사역 4번출구 뒤,4,2
202107,2505. 우성아파트사거리 (기업은행앞),1,4
202107,2508. 양재이스타빌 앞,0,2
202107,251. 서울지방병무청 버스정류장,1,1
202107,2510. JW타워,1,0
202107,2515.서초초등학교 후문,5,12
202107,2521.서초 크로바타워 앞,0,2
202107,2523.뉴코아 킴스클럽 앞,0,1
202107,2524.반포쇼핑타운 8동 앞,1,1
202107,2525.반포쇼핑타운 2동 앞,11,11
202107,2526.반포경남쇼핑 앞,4,4
202107,2527.반포중학교 앞(세화여고 맞은편),5,1
202107,2529.우리은행 방배동지점 앞,1,0
202107,2538.사평리 공원,10,3
202107,2547.포드서초서비스센터앞,0,1
202107,258. 신길역3번출구,1,0
202107,260. 여의도 마리나선착장 앞,2,1
202107,2604. 삼표레미콘 앞,0,2
202107,2608. 송파구청,1,1
202107,2613. 잠실나들목,3,5
202107,2618. 삼전역 1번출구,1,0
202107,2620. 송파나루역 4번 출구옆,3,2
202107,2622. 올림픽공원역 3번출구,1,0
202107,2623.석촌동 주민센터,0,1
202107,2637.잠실월드 메르디앙,2,1
202107,2638.쌍용아파트,1,2
202107,2644.성내5교 (GS주유소),0,1
202107,2646.레이크펠리스101동앞,1,0
202107,2647.잠실 자전거 수리센터 앞,2,5
202107,2654.올림픽선수촌아파트 136동 앞,1,1
202107,267. 삼성화재 사옥 옆,1,2
202107,268. 그랜드컨벤션센터 앞,0,2
202107,270. 증권거래소후문교차로,1,0
202107,2708.강서한강자이타워 앞,3,4
202107,2710.라이품 공영주차장 앞,1,0
202107,2715.마곡나루역 2번 출구 ,1,0
202107,2717.LG유플러스 마곡사옥,0,1
202107,272. 당산육갑문,10,13
202107,2728.마곡나루역 3번 출구,0,2
202107,2735.마곡 공공청사,2,0
202107,2737.까치산역 3번 출구,2,0
202107,274. 영등포역지하쇼핑센타 5번출구,2,4
202107,2744.강서세무서 앞,1,1
202107,275. 신동아아파트,1,0
202107,2816.항동지구 8단지 803동옆(주차장입구),1,1
202107,2824.미래사랑어린이공원 앞,0,2
202107,284. 센트럴 푸르지오 시티 앞,3,0
202107,2910.도깨비시장,3,1
202107,2915.서울과학기술대학교(어학교육원),2,1
202107,2919.등나무 근린공원(시립북서울미술관 앞) ,2,0
202107,293. 충북 미래관,2,1
202107,298.KBS 연구동 건너편,1,1
202107,299.여의도 순복음교회,3,3
202107,300. 정동사거리,1,0
202107,3002.벽산상암스마트큐브 ,1,3
202107,3005.마포구청 청사내,2,1
202107,3008.DMC역7번출구,1,1
202107,3009.서교동사거리(신),0,1
202107,3010.홍대입구역 3번출구,8,25
202107,3011.경의선(노고산동),5,6
202107,3013.서울지방고용노동청 앞,2,0
202107,302. 경복궁역 4번출구 뒤,0,1
202107,303. 광화문역 1번출구 앞,2,0
202107,307. 서울역사박물관 앞,3,0
202107,309. 광화문역 6번출구 옆,1,1
202107,310. 청계광장 옆,6,3
202107,3101. 서대문구청,4,1
202107,3102. 연희삼거리,3,1
202107,3104. e편한세상 신촌4단지 앞,0,1
202107,3107. 연희초등학교 앞,5,5
202107,3110.홍은 현대아이파크 아파트 202동 앞,3,2
202107,3113.독립문역사거리,0,1
202107,3114.충정로역 3번 출구,0,1
202107,3116.신촌역 4번출구,0,4
202107,3117.이화여대 인문관 인근,0,5
202107,3119.연희 브라운스톤 아파트 앞,2,5
202107,3120.DMC엘가아파트 앞,1,0
202107,3125.연희파크푸르지오아파트 앞,3,3
202107,314. 국립현대미술관,3,3
202107,316. 종각역 1번출구 앞,7,0
202107,318. 광교사거리 남측,1,2
202107,320. 을지로입구역 4번출구 앞,2,0
202107,321. KEB 하나금융그룹 명동사옥 옆,5,8
202107,324. 신세계백화점 본점 앞,3,3
202107,327. 낙원상가 옆,13,20
202107,328. 탑골공원 앞,5,5
202107,329. 청계2가 사거리 옆,5,20
202107,331. 을지로2가 사거리 북측,0,2
202107,3311.서울대입구역 4번 출구,0,1
202107,334. 종로3가역 2번출구 뒤,1,0
202107,336. 티마크 호텔 앞,10,12
202107,339. 종로4가 사거리,2,0
202107,340. 혜화동 로터리,1,0
202107,3402.이화공영주차장,2,2
202107,3405.파크팰리스,1,0
202107,3407.안국동사거리(신),2,3
202107,3408.종로타워빌딩,6,2
202107,341. 혜화역 3번출구 뒤,0,1
202107,3410.종로3가역 8번출구,2,2
202107,3411.종묘,0,1
202107,3413.종로플레이스,0,1
202107,3414.종로5가역 4번출구,4,0
202107,3416.동묘앞역 6번출구,1,0
202107,342. 대학로 마로니에공원,2,0
202107,3422.성균관대 정문,1,1
202107,3425.광화문 풍림스페이스본 1단지앞,0,1
202107,3427.인왕산 아이파크 정문,1,0
202107,3432.종로2가 사거리,3,2
202107,346. 맥스타일 앞,2,1
202107,347. 동대문역사문화공원역 9번출구 앞,2,4
202107,3501. 광진구청 앞,3,4
202107,3502. 중곡역 1번출구,0,1
202107,3504. 원일교회,1,0
202107,3505. 신양초교앞 교차로,1,0
202107,3506. 영동대교 북단,2,3
202107,3508. 화양사거리,2,2
202107,3509. 세종사이버대학교,0,3
202107,3511. 응봉역 1번출구,5,5
202107,3515. 서울숲 관리사무소,14,4
202107,3524. 세종대학교,3,1
202107,3525. 금호스포츠센터앞,1,1
202107,3528. 광진정보도서관,0,1
202107,353. 재동초교 앞 삼거리,2,2
202107,3533. 건대입구역 사거리(롯데백화점),11,14
202107,3536. 중앙농협(자양동),3,0
202107,3544.한양대역 3번 출구,2,0
202107,3548.뚝섬역 6번출구,0,2
202107,355. 서울사대부속초교 앞,1,1
202107,3550.금호나들목,0,4
202107,3552.서울숲 공영주차장앞,2,0
202107,3557.서울숲리버뷰자이APT105동 앞,3,0
202107,3559.성동구민종합체육센터 앞,5,2
202107,3566.우성4차아파트,0,4
202107,3569.건대병원후문,2,5
202107,3570.구의역 리버비스타 오피스텔,1,1
202107,3575.자양사거리 (LG 유플러스),11,10
202107,3579.광진 캠퍼스시티,3,9
202107,358. 성대입구 사거리,2,0
202107,3581.광진광장,1,1
202107,3582.화양동 우체국,4,3
202107,3587.우성식품 앞,2,2
202107,359. 원남동사거리,2,1
202107,3600.사근빗물펌프장 건너편,3,9
202107,3603. 삼성역 2번출구,3,2
202107,3606. 신사동주민센터 옆,1,2
202107,361. 동묘앞역 1번출구 뒤,1,1
202107,3612. 은곡마을,1,1
202107,3627. 압구정나들목,4,13
202107,3628. 역삼1동 주민센터,0,1
202107,3638. 신청담나들목,2,2
202107,367. 독립문역 3-1번출구 ,1,0
202107,368. SK 서린빌딩 앞,1,0
202107,369. 광화문 시민열린마당,1,3
202107,370. 시청역(2호선) 9번출구 뒤,2,3
202107,371. 동대입구역 6번출구 뒤,0,2
202107,372. 약수역 3번출구 뒤,2,2
202107,374. 청구역 2번출구 앞,1,0
202107,3762. 마곡9단지 907동앞,1,0
202107,3784. 벽산아파트,0,3
202107,3787. 가양나들목,1,0
202107,3789. 염창나들목,0,1
202107,3794. 안양천합수부(현대3차아파트),4,0
202107,3804. 낙성대공원,1,0
202107,3806. 낙성대 교수아파트,1,0
202107,381. 장충체육관,1,0
202107,3811.신사로입구,1,1
202107,3812. KT관악지점,0,1
202107,382. 약수역 10번출구 앞,0,2
202107,383. 신당역 12번 출구 뒤,2,0
202107,385. 종각역 5번출구,1,0
202107,3853. 어린이대공원역 2번출구,1,0
202107,3864. 광진소방서 앞,1,0
202107,3865. 이튼타워리버 2차,2,0
202107,387. 훈련원공원주차장 앞,1,0
202107,390. 충무로역 1번출구,2,0
202107,3904. 테크노마트 앞,4,1
202107,3905. 희훈타워빌 앞,1,0
202107,391. 정동길입구,2,3
202107,3910. 목양전원교회 앞 로터리,1,1
202107,393. 동대문역 8번 출구,0,5
202107,395. 경희궁 자이 2단지,0,1
202107,398. 을지로3가역 3번출구,1,3
202107,4002. 상계주공 14단지 상가 앞,1,1
202107,4004. 당고개입구오거리 당현천변,0,1
202107,4027. 이마트 월계점,1,1
202107,4031. 청암예술학교 앞,2,0
202107,4033. 녹천 자동차운전 전문학원 (녹천역 4번 출구),6,7
202107,4036. 하계역 6번출구,0,1
202107,405. DMC빌 앞,6,8
202107,4058. 다락원체육공원 전망대 입구,0,1
202107,4065. 창동역 1번출구 앞,1,0
202107,4076. 진영상운 앞 중랑천 변,1,0
202107,4077. 도봉제1교,0,3
202107,409. 누리꿈스퀘어 옆,1,0
202107,410. 상암중학교 옆,1,0
202107,4103. 휘경sk뷰아파트 앞,2,0
202107,4104. 외대앞역 교차로,6,4
202107,4110. 용두롯데캐슬리치아파트 앞,0,1
202107,4113. 한국국방연구원 앞,3,2
202107,413. 상암월드컵파크 3단지 후문,1,0
202107,414. 상암동주민센터 옆,1,1
202107,415. DMC역 9번출구 앞,5,5
202107,4173. 이화약국 앞,0,1
202107,418. 월드컵경기장역 3번출구 옆,2,6
202107,419. 홈플러스 앞,7,8
202107,420. 서울시 공공자전거 상암센터,2,4
202107,4206. 광흥창역5번출구,1,0
202107,4208. 스타벅스(동교동) 앞,1,1
202107,421. 마포구청 앞,0,4
202107,4210. 가좌행복주택 앞,2,1
202107,4211. 시석빌딩 앞,4,0
202107,4212. 한화오벨리스크 앞,2,1
202107,4307. 고투몰 gate 15옆,1,1
202107,431. 청계천 영도교,28,31
202107,4313. 반포종합운동장,3,4
202107,4320. 신영체르니 아파트,0,2
202107,433. 을지로입구역 2번출구,5,2
202107,4362. 행당중학교 후문,2,2
202107,4367. kt 행당빌딩 앞,1,0
202107,437. 대흥역 1번출구,0,2
202107,4370. 서울숲IT캐슬 앞,0,1
202107,438. 성산2-1 공영주차장,1,3
202107,439. 마포어린이공원,3,7
202107,440. 하늘공원 입구,3,6
202107,441.염천교사거리,0,1
202107,442.서울역 서부,2,0
202107,445.대한상공회의소,3,1
202107,4453. 위례중앙푸르지오 201동 앞,0,1
202107,4481. 올림픽공원 북2문 2,1,0
202107,4483. 잠실나들목4,2,0
202107,4484. 잠실나루역4번출구뒤,0,5
202107,4485. 잠실나루역 고가하부,0,1
202107,4486. 홈플러스 잠실점,3,3
202107,4500. 풍납나들목,0,4
202107,4509. 서울영상고교 입구,3,2
202107,4527. 목동신시가지아파트6단지,0,2
202107,453. 종로오가 지하쇼핑센터 14번출구,0,1
202107,454. 종로2가 버스정류장 (종각방향),2,0
202107,455. 삼익한의원,1,0
202107,4557. 리버뷰신안인스빌2차 후문,0,1
202107,456. 숭인2동 주민센터 입구 (이강3대냉면),2,1
202107,4561. 양평역 1번출구,2,5
202107,4563. 여의도 은하아파트,2,1
202107,4564. 63스퀘어,4,5
202107,4565. 영등포 신세계백화점,2,0
202107,458. 광화문역 5번출구,9,6
202107,4604. 원효로다목적체육관 앞,0,1
202107,"4605. 노들섬 다목적홀(동쪽) 숲, 앞",3,1
202107,4608. 국립중앙박물관 정문 앞,4,1
202107,4609. 파크타워 104동 앞,2,0
202107,4612. 한남 준 J.FSS 앞,3,4
202107,4613. 서울갤러리아 앞,1,1
202107,4615. 크라운호텔앞 버스정류소,9,11
202107,4618. 풍전아파트 건너편,1,0
202107,4619. 한강트럼프월드3차 앞,5,6
202107,4620. 삼각지역 14번 출구 앞(교통섬),2,2
202107,4623. 라인프랜즈이태원점 앞,8,4
202107,4625. 용산공원갤러리앞,1,0
202107,4629. 한강초교보도육교 앞,0,1
202107,464. 삼청동 골목,2,0
202107,465. 삼청공원 앞,3,0
202107,4668. 기자촌사거리,0,1
202107,467.한국은행,2,1
202107,468.웨스틴 조선호텔,1,2
202107,469.회현역 1번출구,0,4
202107,4703. 쌍용아파트2단지 정문,0,1
202107,4704. 쌍용아파트2단지 상가앞,3,0
202107,4705. 웰니스센터(민방위교육장 앞),1,0
202107,4707. 청계3가 사거리,4,0
202107,4708. 조계사앞사거리(파리바케트앞),3,1
202107,471.회현사거리 남측,2,5
202107,4710. 자교교회 앞,2,1
202107,474.동대문역사문화공원역 1번출구 뒤편,5,3
202107,475.DDP 패션몰,8,1
202107,4753. 우리은행 서소문금융센터,2,0
202107,476.광희문,0,1
202107,4762. 국제빌딩,0,2
202107,4765. 동대문디자인플라자,8,14
202107,4768. 서울도시건축전시관,2,6
202107,4774. 을지로입구역 8번출구,0,2
202107,4775. 을지로지하쇼핑센터,1,1
202107,4776. 신세계면세점,1,0
202107,4777. 약수동 주민센터,0,2
202107,479.동대입구역 3번 출구,5,2
202107,4791. 명동역9번 출구,5,4
202107,4792. 퇴계로4가 교차로(중구청),3,0
