번호,신고일,구정보,주소,유형,조치일
1,2021-07-15,영등포구,서울특별시 영등포구 여의도동 84-10,보도와 차도가 구분된 도로의 차도,2021-07-15
2,2021-07-15,영등포구,서울특별시 영등포구 영등포동1가 97-4,보도 중앙,2021-07-15
3,2021-07-15,동작구,서울특별시 동작구 노량진동 231-2,보도와 차도가 구분된 도로의 차도,2021-07-15
4,2021-07-15,동작구,서울특별시 동작구 노량진동 54-3,"버스정류장, 택시 승강장",2021-07-15
5,2021-07-15,동작구,서울특별시 동작구 신대방동 460-30,보도와 차도가 구분된 도로의 차도,2021-07-15
6,2021-07-15,동작구,서울특별시 동작구 대방동 354-1,"버스정류장, 택시 승강장",2021-07-15
7,2021-07-15,영등포구,서울특별시 영등포구 신길동 4209,"횡단보도, 산책로 등",2021-07-15
8,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-3,"버스정류장, 택시 승강장",2021-07-15
9,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-3,보도와 차도가 구분된 도로의 차도,2021-07-15
10,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-3,보도와 차도가 구분된 도로의 차도,2021-07-15
11,2021-07-15,마포구,서울특별시 마포구 상암동 1709,기타,2021-07-15
12,2021-07-15,동작구,서울특별시 동작구 흑석동 224-8,"버스정류장, 택시 승강장",2021-07-15
13,2021-07-15,동작구,서울특별시 동작구 대방동 356-2,"버스정류장, 택시 승강장",2021-07-15
14,2021-07-15,동작구,서울특별시 동작구 사당동 1107,기타,2021-07-21
15,2021-07-15,영등포구,서울특별시 영등포구 영등포동1가 95-2,"버스정류장, 택시 승강장",2021-07-15
16,2021-07-15,동작구,서울특별시 동작구 사당동 1043-15,기타,2021-07-15
17,2021-07-15,영등포구,서울특별시 영등포구 신길동 50-4,소방시설 5m 이내 구역,2021-07-15
18,2021-07-15,마포구,서울특별시 마포구 연남동 482-21,보도와 차도가 구분된 도로의 차도,2021-07-15
19,2021-07-15,영등포구,서울특별시 영등포구 여의도동 12,보도 중앙,2021-07-15
20,2021-07-15,영등포구,서울특별시 영등포구 신길동 4934-12,"횡단보도, 산책로 등",2021-07-15
21,2021-07-15,영등포구,서울특별시 영등포구 신길동 205-270,보도와 차도가 구분된 도로의 차도,2021-07-15
22,2021-07-15,마포구,서울특별시 마포구 연남동 260-65,보도와 차도가 구분된 도로의 차도,2021-07-15
23,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-5,"버스정류장, 택시 승강장",2021-07-15
24,2021-07-15,동작구,서울특별시 동작구 상도동 172-28,보도 중앙,2021-07-15
25,2021-07-15,영등포구,서울특별시 영등포구 여의도동 17-1,"버스정류장, 택시 승강장",2021-07-15
26,2021-07-15,동작구,서울특별시 동작구 사당동 1112,"건물, 상가 보행자 진출입",2021-07-15
27,2021-07-15,영등포구,서울특별시 영등포구 여의도동 2-7,보도 중앙,2021-07-15
28,2021-07-15,영등포구,서울특별시 영등포구 여의도동 4-5,"점자블록, 엘리베이터 입구",2021-07-15
29,2021-07-15,영등포구,서울특별시 영등포구 신길동 4209,"횡단보도, 산책로 등",2021-07-15
30,2021-07-15,동작구,서울특별시 동작구 상도동 521-15,보도와 차도가 구분된 도로의 차도,2021-07-15
31,2021-07-15,동작구,서울특별시 동작구 사당동 1112,기타,2021-07-21
32,2021-07-15,영등포구,서울특별시 영등포구 신길동 4877,"점자블록, 엘리베이터 입구",2021-07-15
33,2021-07-15,영등포구,서울특별시 영등포구 문래동6가 45-1,"횡단보도, 산책로 등",2021-07-15
34,2021-07-15,동작구,서울특별시 동작구 상도동 159-275,기타,2021-07-20
35,2021-07-15,동작구,서울특별시 동작구 상도동 215-45,"점자블록, 엘리베이터 입구",2021-07-15
36,2021-07-16,마포구,서울특별시 마포구 상암동 1695,"버스정류장, 택시 승강장",2021-07-16
37,2021-07-16,영등포구,서울특별시 영등포구 여의도동 2-11,"횡단보도, 산책로 등",2021-07-16
38,2021-07-16,마포구,서울특별시 마포구 연남동 226-14,"버스정류장, 택시 승강장",2021-07-16
39,2021-07-16,영등포구,서울특별시 영등포구 신길동 355-15,"횡단보도, 산책로 등",2021-07-16
40,2021-07-16,영등포구,서울특별시 영등포구 여의도동 2-6,"횡단보도, 산책로 등",2021-07-16
41,2021-07-16,마포구,서울특별시 마포구 동교동 192-44,"건물, 상가 보행자 진출입",2021-07-16
42,2021-07-16,영등포구,서울특별시 영등포구 여의도동 2-6,"횡단보도, 산책로 등",2021-07-16
43,2021-07-16,마포구,서울특별시 마포구 성산동 591-3,"버스정류장, 택시 승강장",2021-07-16
44,2021-07-16,마포구,서울특별시 마포구 성산동 252-28,보도와 차도가 구분된 도로의 차도,2021-07-16
45,2021-07-16,마포구,서울특별시 마포구 연남동 229-55,보도와 차도가 구분된 도로의 차도,2021-07-16
46,2021-07-16,동작구,서울특별시 동작구 대방동 354-1,"버스정류장, 택시 승강장",2021-07-16
47,2021-07-16,영등포구,서울특별시 영등포구 여의도동 2-11,"버스정류장, 택시 승강장",2021-07-16
48,2021-07-16,마포구,서울특별시 마포구 성산동 352-8,"버스정류장, 택시 승강장",2021-07-16
49,2021-07-16,마포구,서울특별시 마포구 연남동 228-60,보도와 차도가 구분된 도로의 차도,2021-07-16
50,2021-07-16,영등포구,서울특별시 영등포구 영등포동2가 94-342,"횡단보도, 산책로 등",2021-07-16
51,2021-07-16,동작구,서울특별시 동작구 신대방동 375-25,"점자블록, 엘리베이터 입구",2021-07-16
52,2021-07-16,영등포구,서울특별시 영등포구 대림동 1032-21,"버스정류장, 택시 승강장",2021-07-16
53,2021-07-16,마포구,서울특별시 마포구 연남동 260-66,"횡단보도, 산책로 등",2021-07-16
54,2021-07-16,마포구,서울특별시 마포구 동교동 153-33,"버스정류장, 택시 승강장",2021-07-16
55,2021-07-16,영등포구,서울특별시 영등포구 여의도동 2-8,보도 중앙,2021-07-16
56,2021-07-16,마포구,서울특별시 마포구 동교동 153-33,"버스정류장, 택시 승강장",2021-07-16
57,2021-07-16,마포구,서울특별시 마포구 동교동 162-17,"버스정류장, 택시 승강장",2021-07-16
58,2021-07-16,마포구,서울특별시 마포구 상암동 30-1,보도 중앙,2021-07-16
59,2021-07-16,마포구,서울특별시 마포구 동교동 153-33,"버스정류장, 택시 승강장",2021-07-16
60,2021-07-16,영등포구,서울특별시 영등포구 대림동 697-2,"버스정류장, 택시 승강장",2021-07-16
61,2021-07-16,송파구,서울특별시 송파구 오금동 97-41,"횡단보도, 산책로 등",2021-07-16
62,2021-07-16,동작구,서울특별시 동작구 상도동 518-1,"버스정류장, 택시 승강장",2021-07-16
63,2021-07-16,영등포구,서울특별시 영등포구 여의도동 5-4,"횡단보도, 산책로 등",2021-07-16
64,2021-07-16,마포구,서울특별시 마포구 동교동 192-4,보도 중앙,2021-07-16
65,2021-07-16,영등포구,서울특별시 영등포구 영등포동 618-9,"버스정류장, 택시 승강장",2021-07-16
66,2021-07-16,마포구,서울특별시 마포구 동교동 150-20,보도와 차도가 구분된 도로의 차도,2021-07-16
67,2021-07-16,영등포구,서울특별시 영등포구 영등포동 618-9,보도와 차도가 구분된 도로의 차도,2021-07-16
68,2021-07-16,동작구,서울특별시 동작구 상도동 208-4,"버스정류장, 택시 승강장",2021-07-16
69,2021-07-16,영등포구,서울특별시 영등포구 여의도동 8,"버스정류장, 택시 승강장",2021-07-16
70,2021-07-16,마포구,서울특별시 마포구 동교동 150-20,보도와 차도가 구분된 도로의 차도,2021-07-16
71,2021-07-16,마포구,서울특별시 마포구 상암동 1622,"버스정류장, 택시 승강장",2021-07-16
72,2021-07-16,영등포구,서울특별시 영등포구 신길동 114-5,"점자블록, 엘리베이터 입구",2021-07-16
73,2021-07-16,마포구,서울특별시 마포구 성산동 123-32,"버스정류장, 택시 승강장",2021-07-16
74,2021-07-16,영등포구,서울특별시 영등포구 신길동 41-49,"버스정류장, 택시 승강장",2021-07-16
75,2021-07-16,마포구,서울특별시 마포구 서교동 406,"점자블록, 엘리베이터 입구",2021-07-16
76,2021-07-16,영등포구,서울특별시 영등포구 여의도동 3,"횡단보도, 산책로 등",2021-07-16
77,2021-07-16,마포구,서울특별시 마포구 상암동 1603,"버스정류장, 택시 승강장",2021-07-16
78,2021-07-16,영등포구,서울특별시 영등포구 여의도동 3,"횡단보도, 산책로 등",2021-07-16
79,2021-07-16,마포구,서울특별시 마포구 성산동 231-21,"버스정류장, 택시 승강장",2021-07-16
80,2021-07-16,영등포구,서울특별시 영등포구 영등포동5가 131-5,보도와 차도가 구분된 도로의 차도,2021-07-16
81,2021-07-16,영등포구,서울특별시 영등포구 영등포동7가 65-8,"횡단보도, 산책로 등",2021-07-16
82,2021-07-16,동작구,서울특별시 동작구 사당동 708-1134,보도와 차도가 구분된 도로의 차도,2021-07-16
83,2021-07-16,마포구,서울특별시 마포구 상암동 1701,"버스정류장, 택시 승강장",2021-07-16
84,2021-07-16,마포구,서울특별시 마포구 서교동 406,보도와 차도가 구분된 도로의 차도,2021-07-16
85,2021-07-16,마포구,서울특별시 마포구 성산동 594,"버스정류장, 택시 승강장",2021-07-16
86,2021-07-16,영등포구,서울특별시 영등포구 여의도동 2-6,"건물, 상가 보행자 진출입",2021-07-16
87,2021-07-16,영등포구,서울특별시 영등포구 당산동 378,보도와 차도가 구분된 도로의 차도,2021-07-16
88,2021-07-16,영등포구,서울특별시 영등포구 여의도동 27-2,"건물, 상가 보행자 진출입",2021-07-16
89,2021-07-16,영등포구,서울특별시 영등포구 문래동3가 31-1,보도와 차도가 구분된 도로의 차도,2021-07-16
90,2021-07-16,마포구,서울특별시 마포구 서교동 362-1,보도와 차도가 구분된 도로의 차도,2021-07-16
91,2021-07-16,동작구,서울특별시 동작구 흑석동 86-181,보도와 차도가 구분된 도로의 차도,2021-07-16
92,2021-07-16,영등포구,서울특별시 영등포구 문래동3가 55-13,"점자블록, 엘리베이터 입구",2021-07-16
93,2021-07-16,마포구,서울특별시 마포구 상수동 86-38,"버스정류장, 택시 승강장",2021-07-16
94,2021-07-16,영등포구,서울특별시 영등포구 여의도동 3,기타,2021-07-16
95,2021-07-16,영등포구,서울특별시 영등포구 여의도동 4,소방시설 5m 이내 구역,2021-07-16
96,2021-07-16,영등포구,서울특별시 영등포구 여의도동 4,소방시설 5m 이내 구역,2021-07-16
97,2021-07-16,마포구,서울특별시 마포구 합정동 373-39,"점자블록, 엘리베이터 입구",2021-07-16
98,2021-07-16,동작구,서울특별시 동작구 상도동 235-8,"버스정류장, 택시 승강장",2021-07-16
99,2021-07-16,영등포구,서울특별시 영등포구 문래동5가 6,보도와 차도가 구분된 도로의 차도,2021-07-16
100,2021-07-16,송파구,서울특별시 송파구 가락동 100-2,보도 중앙,2021-07-16
101,2021-07-16,송파구,서울특별시 송파구 송파동 161-2,"버스정류장, 택시 승강장",2021-07-16
102,2021-07-16,동작구,서울특별시 동작구 신대방동 643-1,보도와 차도가 구분된 도로의 차도,2021-07-16
103,2021-07-16,송파구,서울특별시 송파구 송파동 161-2,"점자블록, 엘리베이터 입구",2021-07-16
104,2021-07-16,동작구,서울특별시 동작구 사당동 1043-15,기타,2021-07-16
105,2021-07-16,마포구,서울특별시 마포구 서교동 415,보도와 차도가 구분된 도로의 차도,2021-07-16
106,2021-07-16,마포구,서울특별시 마포구 서교동 413,"횡단보도, 산책로 등",2021-07-16
107,2021-07-16,송파구,서울특별시 송파구 문정동 2-4,"버스정류장, 택시 승강장",2021-07-16
108,2021-07-16,마포구,서울특별시 마포구 서교동 414,"횡단보도, 산책로 등",2021-07-16
109,2021-07-16,마포구,서울특별시 마포구 동교동 159-1,"횡단보도, 산책로 등",2021-07-16
110,2021-07-16,동작구,서울특별시 동작구 본동 산11-1,보도와 차도가 구분된 도로의 차도,2021-07-16
111,2021-07-16,송파구,서울특별시 송파구 가락동 100-2,보도 중앙,2021-07-16
112,2021-07-16,송파구,서울특별시 송파구 가락동 99-6,"점자블록, 엘리베이터 입구",2021-07-16
113,2021-07-16,마포구,서울특별시 마포구 서교동 344-11,"버스정류장, 택시 승강장",2021-07-16
114,2021-07-16,마포구,서울특별시 마포구 서교동 344-11,"버스정류장, 택시 승강장",2021-07-16
115,2021-07-16,마포구,서울특별시 마포구 동교동 155-6,"점자블록, 엘리베이터 입구",2021-07-16
116,2021-07-16,마포구,서울특별시 마포구 연남동 255-30,보도와 차도가 구분된 도로의 차도,2021-07-16
117,2021-07-16,동작구,서울특별시 동작구 사당동 1043-15,기타,2021-07-16
118,2021-07-16,마포구,서울특별시 마포구 연남동 225-36,보도와 차도가 구분된 도로의 차도,2021-07-16
119,2021-07-16,영등포구,서울특별시 영등포구 양평동6가 12-1,보도 중앙,2021-07-16
120,2021-07-16,동작구,서울특별시 동작구 사당동 583-11,기타,2021-07-16
121,2021-07-16,송파구,서울특별시 송파구 문정동 305-3,보도 중앙,2021-07-16
122,2021-07-16,송파구,서울특별시 송파구 문정동 84-3,보도 중앙,2021-07-16
123,2021-07-16,영등포구,서울특별시 영등포구 양평동6가 4-3,보도와 차도가 구분된 도로의 차도,2021-07-16
124,2021-07-16,송파구,서울특별시 송파구 문정동 90-1,보도 중앙,2021-07-16
125,2021-07-16,영등포구,서울특별시 영등포구 여의도동 3,"건물, 상가 보행자 진출입",2021-07-16
126,2021-07-16,영등포구,서울특별시 영등포구 여의도동 3,"건물, 상가 보행자 진출입",2021-07-16
127,2021-07-16,동작구,서울특별시 동작구 상도동 124,"버스정류장, 택시 승강장",2021-07-16
128,2021-07-16,마포구,서울특별시 마포구 서교동 456-9,보도와 차도가 구분된 도로의 차도,2021-07-16
129,2021-07-16,마포구,서울특별시 마포구 동교동 159-2,보도와 차도가 구분된 도로의 차도,2021-07-16
130,2021-07-16,송파구,서울특별시 송파구 문정동 202-1,"횡단보도, 산책로 등",2021-07-16
131,2021-07-16,마포구,서울특별시 마포구 동교동 159-2,보도와 차도가 구분된 도로의 차도,2021-07-16
132,2021-07-16,송파구,서울특별시 송파구 방이동 88-16,"횡단보도, 산책로 등",2021-07-16
133,2021-07-16,송파구,서울특별시 송파구 문정동 210-1,보도 중앙,2021-07-16
134,2021-07-16,마포구,서울특별시 마포구 동교동 159-5,보도와 차도가 구분된 도로의 차도,2021-07-16
135,2021-07-16,마포구,서울특별시 마포구 동교동 154-7,보도 중앙,2021-07-16
136,2021-07-16,마포구,서울특별시 마포구 서교동 458-12,"버스정류장, 택시 승강장",2021-07-16
137,2021-07-16,마포구,서울특별시 마포구 서교동 458-12,"버스정류장, 택시 승강장",2021-07-16
138,2021-07-16,마포구,서울특별시 마포구 동교동 156-8,보도와 차도가 구분된 도로의 차도,2021-07-16
139,2021-07-16,송파구,서울특별시 송파구 문정동 218,보도 중앙,2021-07-16
140,2021-07-16,마포구,서울특별시 마포구 성산동 121-10,"버스정류장, 택시 승강장",2021-07-16
141,2021-07-16,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2021-07-16
142,2021-07-16,영등포구,서울특별시 영등포구 여의도동 4,"횡단보도, 산책로 등",2021-07-16
143,2021-07-16,영등포구,서울특별시 영등포구 여의도동 44-26,"횡단보도, 산책로 등",2021-07-16
144,2021-07-16,영등포구,서울특별시 영등포구 양평동1가 13-35,"버스정류장, 택시 승강장",2021-07-16
145,2021-07-16,영등포구,서울특별시 영등포구 여의도동 8-13,기타,2021-07-16
146,2021-07-16,송파구,서울특별시 송파구 문정동 206-4,"횡단보도, 산책로 등",2021-07-16
147,2021-07-16,마포구,서울특별시 마포구 신수동 81-101,"버스정류장, 택시 승강장",2021-07-16
148,2021-07-16,마포구,서울특별시 마포구 연남동 565-23,보도와 차도가 구분된 도로의 차도,2021-07-16
149,2021-07-16,동작구,서울특별시 동작구 사당동 1112,기타,2021-07-21
150,2021-07-16,마포구,서울특별시 마포구 망원동 420-25,"버스정류장, 택시 승강장",2021-07-16
151,2021-07-16,송파구,서울특별시 송파구 송파동 168-1,보도 중앙,2021-07-16
152,2021-07-16,마포구,서울특별시 마포구 대흥동 38-16,"횡단보도, 산책로 등",2021-07-16
153,2021-07-16,영등포구,서울특별시 영등포구 문래동3가 68-1,기타,2021-07-16
154,2021-07-16,동작구,서울특별시 동작구 상도1동 390-2,"버스정류장, 택시 승강장",2021-07-16
155,2021-07-16,마포구,서울특별시 마포구 망원동 420-7,"버스정류장, 택시 승강장",2021-07-16
156,2021-07-16,마포구,서울특별시 마포구 대흥동 266-2,기타,2021-07-16
157,2021-07-16,마포구,서울특별시 마포구 동교동 157-1,보도와 차도가 구분된 도로의 차도,2021-07-16
158,2021-07-16,마포구,서울특별시 마포구 합정동 395-16,보도와 차도가 구분된 도로의 차도,2021-07-16
159,2021-07-16,영등포구,서울특별시 영등포구 여의도동 1-5,"횡단보도, 산책로 등",2021-07-16
160,2021-07-16,송파구,서울특별시 송파구 방이동 2,보도 중앙,2021-07-16
161,2021-07-16,마포구,서울특별시 마포구 합정동 394-1,보도와 차도가 구분된 도로의 차도,2021-07-16
162,2021-07-16,영등포구,서울특별시 영등포구 여의도동 1-7,"횡단보도, 산책로 등",2021-07-16
163,2021-07-16,마포구,서울특별시 마포구 염리동 164-14,"횡단보도, 산책로 등",2021-07-16
164,2021-07-16,영등포구,서울특별시 영등포구 문래동6가 45-1,"횡단보도, 산책로 등",2021-07-16
165,2021-07-16,영등포구,서울특별시 영등포구 여의도동 1-7,"횡단보도, 산책로 등",2021-07-16
166,2021-07-16,동작구,서울특별시 동작구 상도동 326,"버스정류장, 택시 승강장",2021-07-16
167,2021-07-16,영등포구,서울특별시 영등포구 신길동 321-22,"버스정류장, 택시 승강장",2021-07-16
168,2021-07-16,마포구,서울특별시 마포구 망원동 415-30,보도와 차도가 구분된 도로의 차도,2021-07-16
169,2021-07-16,마포구,서울특별시 마포구 도화동 536,"점자블록, 엘리베이터 입구",2021-07-16
170,2021-07-16,영등포구,서울특별시 영등포구 문래동5가 27,"점자블록, 엘리베이터 입구",2021-07-16
171,2021-07-16,마포구,서울특별시 마포구 동교동 152-28,보도와 차도가 구분된 도로의 차도,2021-07-16
172,2021-07-16,동작구,서울특별시 동작구 노량진동 311-4,기타,2021-07-16
173,2021-07-16,마포구,서울특별시 마포구 망원동 422-19,보도와 차도가 구분된 도로의 차도,2021-07-16
174,2021-07-16,동작구,서울특별시 동작구 노량진동 55-2,"버스정류장, 택시 승강장",2021-07-16
175,2021-07-16,영등포구,서울특별시 영등포구 문래동3가 54,보도와 차도가 구분된 도로의 차도,2021-07-16
176,2021-07-16,마포구,서울특별시 마포구 연남동 369-8,"건물, 상가 보행자 진출입",2021-07-16
177,2021-07-16,영등포구,서울특별시 영등포구 신길동 505-1,"점자블록, 엘리베이터 입구",2021-07-16
178,2021-07-16,마포구,서울특별시 마포구 성산동 231-20,"횡단보도, 산책로 등",2021-07-16
179,2021-07-16,송파구,서울특별시 송파구 문정동 218,"횡단보도, 산책로 등",2021-07-16
180,2021-07-16,영등포구,서울특별시 영등포구 영등포동7가 94-33,"버스정류장, 택시 승강장",2021-07-16
181,2021-07-16,송파구,서울특별시 송파구 오금동 34-2,기타,2021-07-16
182,2021-07-16,송파구,서울특별시 송파구 오금동 34-2,보도 중앙,2021-07-16
183,2021-07-16,마포구,서울특별시 마포구 망원동 378-22,"횡단보도, 산책로 등",2021-07-16
184,2021-07-16,송파구,서울특별시 송파구 방이동 218-41,보도 중앙,2021-07-16
185,2021-07-16,마포구,서울특별시 마포구 망원동 378-2,"점자블록, 엘리베이터 입구",2021-07-16
186,2021-07-16,마포구,서울특별시 마포구 망원동 378-2,"점자블록, 엘리베이터 입구",2021-07-16
187,2021-07-16,마포구,서울특별시 마포구 성산동 200-3,"버스정류장, 택시 승강장",2021-07-16
188,2021-07-16,마포구,서울특별시 마포구 서교동 446-16,보도와 차도가 구분된 도로의 차도,2021-07-16
189,2021-07-19,동작구,서울특별시 동작구 신대방동 643-1,"횡단보도, 산책로 등",2021-07-20
190,2021-07-19,도봉구,서울특별시 도봉구 창동 23,보도와 차도가 구분된 도로의 차도,2021-07-19
191,2021-07-19,도봉구,서울특별시 도봉구 창동 752-3,보도와 차도가 구분된 도로의 차도,2021-07-19
192,2021-07-19,영등포구,서울특별시 영등포구 영등포동 618-9,"건물, 상가 보행자 진출입",2021-07-19
193,2021-07-19,영등포구,서울특별시 영등포구 영등포동 618-9,"건물, 상가 보행자 진출입",2021-07-19
194,2021-07-19,영등포구,서울특별시 영등포구 영등포동 618-9,"건물, 상가 보행자 진출입",2021-07-19
195,2021-07-19,도봉구,서울특별시 도봉구 방학동 602-12,"버스정류장, 택시 승강장",2021-07-19
196,2021-07-19,동작구,서울특별시 동작구 신대방동 395-69,보도와 차도가 구분된 도로의 차도,2021-07-19
197,2021-07-19,동작구,서울특별시 동작구 신대방동 395-66,보도와 차도가 구분된 도로의 차도,2021-07-19
198,2021-07-19,영등포구,서울특별시 영등포구 여의도동 2-10,보도와 차도가 구분된 도로의 차도,2021-07-19
199,2021-07-19,영등포구,서울특별시 영등포구 여의도동 5,"버스정류장, 택시 승강장",2021-07-19
200,2021-07-19,동작구,서울특별시 동작구 노량진동 63-12,기타,2021-07-19
201,2021-07-19,영등포구,서울특별시 영등포구 여의도동 44-6,"점자블록, 엘리베이터 입구",2021-07-19
202,2021-07-19,중구,서울특별시 중구 서소문동 37,보도와 차도가 구분된 도로의 차도,2021-07-19
203,2021-07-19,영등포구,서울특별시 영등포구 여의도동 2-1,"버스정류장, 택시 승강장",2021-07-19
204,2021-07-19,송파구,서울특별시 송파구 오금동 34-2,"점자블록, 엘리베이터 입구",2021-07-19
205,2021-07-19,동작구,서울특별시 동작구 사당동 1043-15,기타,2021-07-19
206,2021-07-19,동작구,서울특별시 동작구 대방동 406-9,기타,2021-07-19
207,2021-07-19,영등포구,서울특별시 영등포구 대림동 646-1,보도와 차도가 구분된 도로의 차도,2021-07-19
208,2021-07-19,영등포구,서울특별시 영등포구 대림동 646-1,보도 중앙,2021-07-19
209,2021-07-19,영등포구,서울특별시 영등포구 대림동 646-1,보도와 차도가 구분된 도로의 차도,2021-07-19
210,2021-07-19,영등포구,서울특별시 영등포구 대림동 646-1,보도와 차도가 구분된 도로의 차도,2021-07-19
211,2021-07-19,영등포구,서울특별시 영등포구 신길동 67-1,"버스정류장, 택시 승강장",2021-07-19
212,2021-07-19,송파구,서울특별시 송파구 오금동 17-20,"육교위, 지하보차도 안",2021-07-19
213,2021-07-19,영등포구,서울특별시 영등포구 양평동4가 260-1,"횡단보도, 산책로 등",2021-07-19
214,2021-07-19,영등포구,서울특별시 영등포구 양평동4가 260-1,"횡단보도, 산책로 등",2021-07-19
215,2021-07-19,영등포구,서울특별시 영등포구 신길동 114-45,"횡단보도, 산책로 등",2021-07-19
216,2021-07-19,마포구,서울특별시 마포구 동교동 164-13,"점자블록, 엘리베이터 입구",2021-07-19
217,2021-07-19,송파구,서울특별시 송파구 가락동 2-11,"버스정류장, 택시 승강장",2021-07-19
218,2021-07-19,마포구,서울특별시 마포구 동교동 192-6,보도와 차도가 구분된 도로의 차도,2021-07-19
219,2021-07-19,마포구,서울특별시 마포구 서교동 350-3,보도와 차도가 구분된 도로의 차도,2021-07-19
220,2021-07-19,송파구,서울특별시 송파구 문정동 108-16,보도와 차도가 구분된 도로의 차도,2021-07-19
221,2021-07-19,마포구,서울특별시 마포구 서교동 350-3,보도와 차도가 구분된 도로의 차도,2021-07-19
222,2021-07-19,영등포구,서울특별시 영등포구 당산동6가 291,"횡단보도, 산책로 등",2021-07-19
223,2021-07-19,영등포구,서울특별시 영등포구 신길동 1518,"버스정류장, 택시 승강장",2021-07-19
224,2021-07-19,영등포구,서울특별시 영등포구 신길동 1192,"횡단보도, 산책로 등",2021-07-19
225,2021-07-19,동작구,서울특별시 동작구 본동 475-1,기타,2021-07-19
226,2021-07-19,송파구,서울특별시 송파구 문정동 217-2,"횡단보도, 산책로 등",2021-07-19
227,2021-07-19,마포구,서울특별시 마포구 연남동 228-26,보도와 차도가 구분된 도로의 차도,2021-07-19
228,2021-07-19,동작구,서울특별시 동작구 본동 475-1,기타,2021-07-19
229,2021-07-19,영등포구,서울특별시 영등포구 신길동 1197,보도와 차도가 구분된 도로의 차도,2021-07-19
230,2021-07-19,마포구,서울특별시 마포구 상수동 356-7,보도와 차도가 구분된 도로의 차도,2021-07-19
231,2021-07-19,도봉구,서울특별시 도봉구 도봉동 637-49,"점자블록, 엘리베이터 입구",2021-07-19
232,2021-07-19,영등포구,서울특별시 영등포구 신길동 106-13,보도와 차도가 구분된 도로의 차도,2021-07-19
233,2021-07-19,동작구,서울특별시 동작구 사당동 144-4,기타,2021-07-19
234,2021-07-19,마포구,서울특별시 마포구 현석동 225-2,보도와 차도가 구분된 도로의 차도,2021-07-19
235,2021-07-19,동작구,서울특별시 동작구 사당동 144-4,기타,2021-07-19
236,2021-07-19,마포구,서울특별시 마포구 현석동 6-3,보도와 차도가 구분된 도로의 차도,2021-07-19
237,2021-07-19,영등포구,서울특별시 영등포구 여의도동 28-3,"점자블록, 엘리베이터 입구",2021-07-19
238,2021-07-19,송파구,서울특별시 송파구 송파동 142-18,"버스정류장, 택시 승강장",2021-07-19
239,2021-07-19,영등포구,서울특별시 영등포구 여의도동 4-6,"버스정류장, 택시 승강장",2021-07-19
240,2021-07-19,마포구,서울특별시 마포구 현석동 118,"횡단보도, 산책로 등",2021-07-19
241,2021-07-19,도봉구,서울특별시 도봉구 쌍문동 20-7,보도 중앙,2021-07-19
242,2021-07-19,영등포구,서울특별시 영등포구 여의도동 2-3,보도와 차도가 구분된 도로의 차도,2021-07-19
243,2021-07-19,동작구,서울특별시 동작구 상도동 512-2,"버스정류장, 택시 승강장",2021-07-19
244,2021-07-19,영등포구,서울특별시 영등포구 여의도동 3,"점자블록, 엘리베이터 입구",2021-07-19
245,2021-07-19,송파구,서울특별시 송파구 송파동 62,"버스정류장, 택시 승강장",2021-07-19
246,2021-07-19,도봉구,서울특별시 도봉구 쌍문동 20-7,"버스정류장, 택시 승강장",2021-07-19
247,2021-07-19,도봉구,서울특별시 도봉구 쌍문동 20-7,보도 중앙,2021-07-19
248,2021-07-19,영등포구,서울특별시 영등포구 여의도동 2-3,"버스정류장, 택시 승강장",2021-07-19
249,2021-07-19,동작구,서울특별시 동작구 사당동 181-20,"점자블록, 엘리베이터 입구",2021-07-19
250,2021-07-19,영등포구,서울특별시 영등포구 여의도동 20,"버스정류장, 택시 승강장",2021-07-19
251,2021-07-19,마포구,서울특별시 마포구 동교동 163-8,보도 중앙,2021-07-19
252,2021-07-19,도봉구,서울특별시 도봉구 쌍문동 60-15,"버스정류장, 택시 승강장",2021-07-19
253,2021-07-19,도봉구,서울특별시 도봉구 쌍문동 20-7,"버스정류장, 택시 승강장",2021-07-19
254,2021-07-19,영등포구,서울특별시 영등포구 여의도동 2-6,"버스정류장, 택시 승강장",2021-07-19
255,2021-07-19,송파구,서울특별시 송파구 문정동 119-4,"버스정류장, 택시 승강장",2021-07-19
256,2021-07-19,마포구,서울특별시 마포구 연남동 260-65,보도 중앙,2021-07-19
257,2021-07-19,마포구,서울특별시 마포구 연남동 359-5,보도 중앙,2021-07-19
258,2021-07-19,영등포구,서울특별시 영등포구 여의도동 2-6,"버스정류장, 택시 승강장",2021-07-19
259,2021-07-19,영등포구,서울특별시 영등포구 여의도동 2-1,"버스정류장, 택시 승강장",2021-07-19
260,2021-07-19,영등포구,서울특별시 영등포구 여의도동 2-11,"점자블록, 엘리베이터 입구",2021-07-19
261,2021-07-19,마포구,서울특별시 마포구 서교동 458-12,"버스정류장, 택시 승강장",2021-07-19
262,2021-07-19,마포구,서울특별시 마포구 서교동 458-12,"버스정류장, 택시 승강장",2021-07-19
